region,latitude,longitude,available_for_hire_taxis,avg_rain_mm,total_taxi_records_from_api,taxi_api_timestamp,rain_api_timestamp,collection_time
North,1.42,103.82,265,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
Northeast,1.37,103.88,224,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
Other,1.28,103.76,176,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
West,1.35,103.7,162,0.0,2031,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00+08:00,2026-06-17T00:50:00
Central,1.3,103.83,793,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
East,1.35,103.95,524,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
North,1.42,103.82,261,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
Northeast,1.37,103.88,237,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
Other,1.28,103.76,161,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
West,1.35,103.7,148,0.0,2124,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00+08:00,2026-06-17T00:55:00
Central,1.3,103.83,738,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
East,1.35,103.95,470,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
North,1.42,103.82,249,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
Northeast,1.37,103.88,210,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
Other,1.28,103.76,167,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
West,1.35,103.7,146,0.0,1980,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00+08:00,2026-06-17T01:00:00
Central,1.3,103.83,764,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
East,1.35,103.95,426,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
North,1.42,103.82,217,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
Northeast,1.37,103.88,196,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
Other,1.28,103.76,149,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
West,1.35,103.7,129,0.0,1881,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00+08:00,2026-06-17T01:05:00
Central,1.3,103.83,766,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
East,1.35,103.95,455,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
North,1.42,103.82,273,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
Northeast,1.37,103.88,229,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
Other,1.28,103.76,159,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
West,1.35,103.7,157,0.0,2039,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00+08:00,2026-06-17T01:10:00
Central,1.3,103.83,752,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
East,1.35,103.95,435,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
North,1.42,103.82,251,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
Northeast,1.37,103.88,218,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
Other,1.28,103.76,155,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
West,1.35,103.7,156,0.0,1967,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00+08:00,2026-06-17T01:15:00
Central,1.3,103.83,751,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
East,1.35,103.95,415,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
North,1.42,103.82,247,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
Northeast,1.37,103.88,195,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
Other,1.28,103.76,164,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
West,1.35,103.7,131,0.0,1903,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00+08:00,2026-06-17T01:20:00
Central,1.3,103.83,838,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
East,1.35,103.95,407,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
North,1.42,103.82,264,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
Northeast,1.37,103.88,215,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
Other,1.28,103.76,163,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
West,1.35,103.7,147,0.0,2034,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00+08:00,2026-06-17T01:25:00
Central,1.3,103.83,826,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
East,1.35,103.95,399,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
North,1.42,103.82,248,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
Northeast,1.37,103.88,218,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
Other,1.28,103.76,166,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
West,1.35,103.7,145,0.0,2002,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00+08:00,2026-06-17T01:30:00
Central,1.3,103.83,836,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
East,1.35,103.95,405,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
North,1.42,103.82,276,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
Northeast,1.37,103.88,212,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
Other,1.28,103.76,162,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
West,1.35,103.7,131,0.0,2022,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00+08:00,2026-06-17T01:35:00
Central,1.3,103.83,841,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
East,1.35,103.95,383,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
North,1.42,103.82,274,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
Northeast,1.37,103.88,211,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
Other,1.28,103.76,151,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
West,1.35,103.7,149,0.0,2009,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00+08:00,2026-06-17T01:40:00
Central,1.3,103.83,859,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
East,1.35,103.95,415,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
North,1.42,103.82,275,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
Northeast,1.37,103.88,223,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
Other,1.28,103.76,143,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
West,1.35,103.7,145,0.0,2060,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00+08:00,2026-06-17T01:45:00
Central,1.3,103.83,908,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
East,1.35,103.95,420,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
North,1.42,103.82,294,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
Northeast,1.37,103.88,239,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
Other,1.28,103.76,152,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
West,1.35,103.7,146,0.0,2159,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00+08:00,2026-06-17T01:50:00
Central,1.3,103.83,887,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
East,1.35,103.95,444,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
North,1.42,103.82,284,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
Northeast,1.37,103.88,219,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
Other,1.28,103.76,151,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
West,1.35,103.7,141,0.0,2126,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00+08:00,2026-06-17T01:55:00
Central,1.3,103.83,872,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
East,1.35,103.95,428,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
North,1.42,103.82,287,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
Northeast,1.37,103.88,207,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
Other,1.28,103.76,148,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
West,1.35,103.7,132,0.0,2074,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00+08:00,2026-06-17T02:00:00
Central,1.3,103.83,777,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
East,1.35,103.95,425,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
North,1.42,103.82,279,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
Northeast,1.37,103.88,235,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
Other,1.28,103.76,143,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
West,1.35,103.7,120,0.0,1979,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00+08:00,2026-06-17T02:05:00
Central,1.3,103.83,813,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
East,1.35,103.95,422,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
North,1.42,103.82,273,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
Northeast,1.37,103.88,204,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
Other,1.28,103.76,151,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
West,1.35,103.7,133,0.0,1996,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00+08:00,2026-06-17T02:10:00
Central,1.3,103.83,757,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
East,1.35,103.95,395,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
North,1.42,103.82,264,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
Northeast,1.37,103.88,211,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
Other,1.28,103.76,159,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
West,1.35,103.7,117,0.0,1903,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00+08:00,2026-06-17T02:15:00
Central,1.3,103.83,744,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
East,1.35,103.95,406,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
North,1.42,103.82,242,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
Northeast,1.37,103.88,229,0.0,1882,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00+08:00,2026-06-17T02:20:00
